Date,Ticker,Close,Volume
2024-08-30,BVN,12.1572,1222700
2024-08-30,CAAP,15.06,352300
2024-08-30,CBDBY,0.49,47900
2024-08-30,CCU,10.8036,61000
2024-08-30,CEG,195.7576,2239400
2024-08-30,CEPU,8.9344,656100
2024-08-30,CIB,25.6947,333300
2024-08-30,CINT,6.67,86482
2024-08-30,CPA,86.0179,144600
2024-08-30,CPAC,5.0897,1763
2024-08-30,CX,6.0457,11285700
2024-08-30,DESP,12.29,734331
2024-08-30,DLO,8.4977,1125800
2024-08-30,EC,8.8645,2466500
2024-08-30,EDN,19.3,146927
2024-08-30,ERJ,33.197,1502500
2024-08-30,EVEX,2.81,106111
2024-08-30,FMX,98.9554,1640700
2024-08-30,GGAL,38.984,3197799
2024-08-30,GGB,3.1695,6468600
2024-08-30,GLOB,202.24,213254
2024-08-30,GPRK,8.2912,266500
2024-08-30,IFS,24.6114,86449
2024-08-30,INTR,7.2405,35205800
2024-08-30,IRS,9.075,346624
2024-08-30,ITUB,5.4819,21401380
2024-08-30,KOF,81.9723,201500
2024-08-30,LVRO,4.95,4107
2024-08-30,MELI,2061.66,384426
2024-08-30,NEXA,6.0,41177
2024-08-30,NU,14.97,561757375
2024-08-30,OMAB,60.4528,118279
2024-08-30,PAAS,19.9448,2800400
2024-08-30,PAC,171.1323,75400
2024-08-30,PAGS,10.8949,36883200
2024-08-30,PAM,54.42,352068
2024-08-30,PAX,11.0954,2473100
2024-08-30,PBR,13.4419,15142700
2024-08-30,PSMT,88.9608,102081
2024-08-30,SCCO,97.2738,1449243
2024-08-30,SGML,10.65,2793215
2024-08-30,SID,2.0321,2204341
2024-08-30,SQM,38.8,1649000
2024-08-30,STN,81.4058,259859
2024-08-30,SUPV,7.2451,2436400
2024-08-30,TBBB,31.78,316600
2024-08-30,TGLS,61.5064,217000
2024-08-30,TGS,19.4,297150
2024-08-30,TS,28.3016,6441300
2024-08-30,TV,1.8992,486400
2024-08-30,TX,30.753,120800
2024-08-30,UGP,4.0461,1074184
2024-08-30,VALE,10.0311,19742670
2024-08-30,VINP,9.5998,656000
2024-08-30,VIST,52.13,657167
2024-08-30,VLRS,5.71,442320
2024-08-30,VSTA,2.2,29534
2024-08-30,VTEX,7.06,1804100
2024-08-30,XP,17.519,69889700
2024-08-30,YPF,23.7,4723400
2024-08-30,ZENV,1.73,18500
2024-09-03,ABEV,2.1125,21464600
2024-09-03,AFYA,16.3079,236400
2024-09-03,AGRO,10.6655,667427
2024-09-03,AMX,15.7318,1708480
2024-09-03,ARCO,8.3507,1230900
2024-09-03,ASR,245.8255,47900
2024-09-03,AUNA,6.84,218600
2024-09-03,AVAL,1.9581,32900
2024-09-03,BAK,6.51,1334510
2024-09-03,BAP,160.5136,195700
2024-09-03,BBAR,10.43,1087850
2024-09-03,BBD,2.5713,24558800
2024-09-03,BCH,23.1853,175096
2024-09-03,BLX,29.5041,115300
2024-09-03,BMA,60.6,527251
2024-09-03,BRFS,4.2298,2727990
2024-09-03,BSAC,19.2448,159600
2024-09-03,BSBR,5.3551,306800
2024-09-03,BVN,11.5297,951900
2024-09-03,CAAP,14.34,575900
2024-09-03,CBDBY,0.48,11200
2024-09-03,CCU,10.5528,83800
2024-09-03,CEG,176.9282,4252300
2024-09-03,CEPU,8.7095,466400
2024-09-03,CIB,25.5394,231300
2024-09-03,CINT,6.65,63959
2024-09-03,CPA,84.7619,319600
2024-09-03,CPAC,5.1175,2681
2024-09-03,CX,5.8681,13237500
2024-09-03,DESP,11.77,868505
2024-09-03,DLO,8.1643,775300
2024-09-03,EC,8.5222,2456700
2024-09-03,EDN,18.84,50578
2024-09-03,ERJ,32.7774,2666500
2024-09-03,EVEX,2.75,108646
2024-09-03,FMX,96.818,721900
2024-09-03,GGAL,40.0987,1601820
2024-09-03,GGB,3.0431,3679900
2024-09-03,GLOB,195.35,235645
2024-09-03,GPRK,7.9139,564900
2024-09-03,IFS,24.0107,230132
2024-09-03,INTR,7.3292,2934800
2024-09-03,IRS,9.1292,220800
2024-09-03,ITUB,5.5096,17666660
2024-09-03,KOF,83.3249,220600
2024-09-03,LVRO,4.95,218
2024-09-03,MELI,1990.17,377166
2024-09-03,NEXA,5.98,35066
2024-09-03,NU,14.84,70077800
2024-09-03,OMAB,58.6695,68225
2024-09-03,PAAS,18.8987,4041200
2024-09-03,PAC,167.4145,32300
2024-09-03,PAGS,10.885,7256100
2024-09-03,PAM,54.86,256226
2024-09-03,PAX,10.7968,890100
2024-09-03,PBR,13.1506,21659900
2024-09-03,PSMT,87.4811,178369
